model,country,category,crps
arima,all_chargeability,F1,54.40832619569869
deepar,all_chargeability,F1,37.179093330912536
sarima,all_chargeability,F1,54.415672406833586
arima,all_chargeability,F2A,62.84426653138553
deepar,all_chargeability,F2A,57.2771488950757
sarima,all_chargeability,F2A,63.03459796507892
arima,all_chargeability,F2B,25.137508205794575
deepar,all_chargeability,F2B,26.400531213533913
sarima,all_chargeability,F2B,33.294009080521086
arima,all_chargeability,F3,35.850845571421964
deepar,all_chargeability,F3,28.123943248329677
sarima,all_chargeability,F3,36.372059505304605
arima,all_chargeability,F4,33.332242806833925
deepar,all_chargeability,F4,31.178221390922896
sarima,all_chargeability,F4,34.02601375053003
arima,china,F1,50.14875509163926
deepar,china,F1,33.84437791344394
sarima,china,F1,52.76579069126615
arima,china,F2A,64.0038661323312
deepar,china,F2A,57.888812843486185
sarima,china,F2A,63.27934450281024
arima,china,F2B,25.343211009644694
deepar,china,F2B,27.971204783611288
sarima,china,F2B,33.216589992635136
arima,china,F3,35.30043904044768
deepar,china,F3,28.20162506168541
sarima,china,F3,36.407536479505474
arima,china,F4,33.12149388951169
deepar,china,F4,31.81160928033962
sarima,china,F4,33.51415153443289
arima,india,F1,40.69268977196581
deepar,india,F1,36.91782645013863
sarima,india,F1,40.76730996204924
arima,india,F2A,62.87275735265833
deepar,india,F2A,57.279299857392765
sarima,india,F2A,63.08994024074142
arima,india,F2B,24.406027994253083
deepar,india,F2B,26.613118183718026
sarima,india,F2B,32.6328601078532
arima,india,F3,35.836665077187035
deepar,india,F3,28.075355684329754
sarima,india,F3,
arima,india,F4,15.199680254715759
deepar,india,F4,28.33453314203258
sarima,india,F4,13.380058150657002
arima,mexico,F1,128.12808046651926
deepar,mexico,F1,116.5673383080632
sarima,mexico,F1,85.29123182362355
arima,mexico,F2A,51.582557045330454
deepar,mexico,F2A,56.70906730092012
sarima,mexico,F2A,51.158854292102056
arima,mexico,F2B,83.27629396024652
deepar,mexico,F2B,61.60309366988995
sarima,mexico,F2B,356.5550299087302
arima,mexico,F3,133.99085415796853
deepar,mexico,F3,103.31428136502778
sarima,mexico,F3,111.42823477878385
arima,mexico,F4,11.39558017370238
deepar,mexico,F4,51.852609995565295
sarima,mexico,F4,13.290791638610395
arima,philippines,F1,21.592808404105956
deepar,philippines,F1,48.05048213010841
sarima,philippines,F1,20.961857734139056
arima,philippines,F2A,62.88506132744775
deepar,philippines,F2A,57.267906105910704
sarima,philippines,F2A,63.031795813338704
arima,philippines,F2B,29.320354741596628
deepar,philippines,F2B,38.31910831904208
sarima,philippines,F2B,29.58691846045379
arima,philippines,F3,57.940332170131875
deepar,philippines,F3,69.5555356663336
sarima,philippines,F3,53.175575565098676
arima,philippines,F4,58.741321060470305
deepar,philippines,F4,42.40408915688496
sarima,philippines,F4,59.59651324782734
